stop_type,departures,Bedienungsqualität,
bus,<2,NA,
bus,<4,6,
bus,<6,5,
bus,<12,4,
bus,<24,3,
bus,>=24,2,
train,<2,NA,
train,<4,4,
train,<6,3,
train,<12,2,
train,<24,1,
train,>=24,1,
