Bedienungsqualität;minutes;indicator
1;6;1
1;10;1
1;15;2
1;20;3
1;25;4
2;6;1
2;10;2
2;15;3
2;20;4
2;25;5
3;6;2
3;10;3
3;15;4
3;20;5
3;25;6
4;6;3
4;10;4
4;15;5
4;20;6
4;25;7
5;6;4
5;10;5
5;15;6
5;20;7
5;25;7
6;6;5
6;10;6
6;15;7
6;20;7
6;25;7
7;6;8
7;10;8
7;15;8
7;20;8
7;25;8
