Bedienungsqualität;minutes;indicator
1;5;1
1;8;1
1;11;2
1;15;3
1;19;4
2;5;1
2;8;2
2;11;3
2;15;4
2;19;5
3;5;2
3;8;3
3;11;4
3;15;5
3;19;6
4;5;3
4;8;4
4;11;5
4;15;6
4;19;7
5;5;4
5;8;5
5;11;6
5;15;7
5;19;7
6;5;5
6;8;6
6;11;7
6;15;7
6;19;7
7;5;8
7;8;8
7;11;8
7;15;8
7;19;8
