Bedienungsqualität;minutes;indicator
1;5;a
1;8;a
1;11;b
1;15;c
1;19;d
2;5;a
2;8;b
2;11;c
2;15;d
2;19;e
3;5;b
3;8;c
3;11;d
3;15;e
3;19;f
4;5;c
4;8;d
4;11;e
4;15;f
4;19;g
5;5;d
5;8;e
5;11;f
5;15;g
5;19;g
6;5;e
6;8;f
6;11;g
6;15;g
6;19;g
