stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,platform_code,level_id
000016200301,NA,Birken-Honigsessen Hofstraße,NA,50.823568,7.744259,0,NA,0,NA,NA
000016200302,NA,Birken-Honigsessen Hofstraße,NA,50.823568,7.744349,0,NA,0,NA,NA
000016200401,NA,Birken-Honigsessen Schule,NA,50.821888,7.741007,0,NA,0,NA,NA
000016200402,NA,Birken-Honigsessen Schule,NA,50.821888,7.741097,0,NA,0,NA,NA
000016200501,NA,Birken-Honigsessen Iltisweg,NA,50.816831,7.740882,0,NA,0,NA,NA
000016200502,NA,Birken-Honigsessen Iltisweg,NA,50.816831,7.740971,0,NA,0,NA,NA
000016200601,NA,Birken-Honigsessen Oststraße,NA,50.812041,7.739588,0,NA,0,NA,NA
000016200602,NA,Birken-Honigsessen Oststraße,NA,50.812041,7.739678,0,NA,0,NA,NA
000016200701,NA,Birken-Honigsessen Kyllberg,NA,50.8075,7.735932,0,NA,0,NA,NA
000016200702,NA,Birken-Honigsessen Kyllberg,NA,50.8075,7.736022,0,NA,0,NA,NA
000016200801,NA,Wissen Brückhöfe,NA,50.785134,7.732096,0,NA,0,NA,NA
000016200802,NA,Wissen Brückhöfe,NA,50.785134,7.732186,0,NA,0,NA,NA
000016200901,NA,Wissen Realschule/Altbel,NA,50.785281,7.713043,0,NA,0,NA,NA
000016201001,NA,Wissen Gymnasium,NA,50.786951,7.717597,0,NA,0,NA,NA
000000856202,NA,"Landgraaf, Mondo Verde",NA,50.890538,6.029827,0,NA,0,NA,NA
000010823622,NA,Altenkirchen (Westerw) Bahnhof,Bahnhof,50.684403,7.638231,0,NA,0,99,2
000010968731,NA,Wissen Bf,Wissen Bf,50.782856,7.739777,0,NA,0,99,2
000011010317,NA,Hachenburg Bf,Hachenburg Bf,50.663994,7.822862,0,NA,0,99,2
000011010409,NA,Westerburg Bf,Bahnhof,50.557199,7.967221,0,NA,0,21,2
000011010414,NA,Westerburg Bf,Westerburg Bf,50.557627,7.966943,0,NA,0,99,2
000011010735,NA,Neuwied Bf,Neuwied Bf,50.431459,7.473112,0,NA,0,99,2
000011011762,NA,Koblenz Hauptbahnhof,Koblenz Hauptbahnhof,50.350913,7.588321,0,NA,0,99,2
000011040916,NA,Erbach Nistertal-Bad Marienberg Bf,Nistertal-Bad Marien,50.632096,7.900548,0,NA,0,99,2
000011049009,NA,Hattert Bf,Hattert Bf,50.676314,7.77597,0,NA,0,99,2
000011056415,NA,Langenhahn Bf,Langenhahn Bf,50.587522,7.914607,0,NA,0,99,2
000011103210,NA,Dernbach (Westerw) Dernbach Bf,NA,50.457208,7.783677,0,NA,0,NA,NA
000011114813,NA,Siershahn Bf,Siershahn Bf,50.485841,7.771352,0,NA,0,99,2
000011122813,NA,Montabaur Bf,Bahnhof,50.444075,7.825323,0,NA,0,21,2
000011122823,NA,Montabaur Bf,Montabaur Bf,50.444819,7.825305,0,NA,0,99,2
000011203508,NA,Alsbach Brunnen,NA,50.462704,7.660914,0,NA,0,NA,NA
000011203608,NA,Alsbach Dorfgemeinschaftshaus,NA,50.465157,7.65962,0,NA,0,NA,NA
000011213102,NA,"Arbach, Kirche",NA,50.284472,7.047077,0,NA,0,NA,NA
000011214707,NA,Atzelgift Brunnen,NA,50.696809,7.825467,0,NA,0,NA,NA
000011225607,NA,Ransbach-Baumbach Erich-Kästner-Schule,NA,50.456842,7.726778,0,NA,0,NA,NA
000011225705,NA,Ransbach-Baumbach Börsenweg,NA,50.456019,7.720229,0,NA,0,NA,NA
000011225806,NA,Ransbach-Baumbach Rheinstraße,NA,50.45742,7.714821,0,NA,0,NA,NA
000011225906,NA,Ransbach-Baumbach Stadthalle,NA,50.461983,7.725197,0,NA,0,NA,NA
000011226005,NA,Ransbach-Baumbach D`Esterstraße,NA,50.457534,7.720975,0,NA,0,NA,NA
000011227607,NA,Bell (Eifel) Neustraße,Neustraße,50.387171,7.23177,0,NA,0,99,2
000011227805,NA,Bell (Eifel) Kirche,Kirche,50.387326,7.235121,0,NA,0,99,2
000011229306,NA,Bendorf (Rhein) Breslauer Straße,NA,50.422995,7.570184,0,NA,0,NA,NA
000011230005,NA,Bendorf (Rhein) Fleck,NA,50.418909,7.594223,0,NA,0,NA,NA
000011230307,NA,Bendorf (Rhein) Sayn Sayner Hütte,NA,50.440145,7.575996,0,NA,0,NA,NA
000011230706,NA,Bendorf (Rhein) Sayn Im Sayntal,NA,50.449658,7.57817,0,NA,0,NA,NA
000011231406,NA,Bendorf (Rhein) Nord,NA,50.4277,7.571118,0,NA,0,NA,NA
000011231610,NA,Bendorf (Rhein) Stadtpark,NA,50.423779,7.574559,0,NA,0,NA,NA
000011232504,NA,Bendorf (Rhein) Theodor-Heuss-Straße,NA,50.421364,7.569896,0,NA,0,NA,NA
000011242005,NA,Montabaur Bladernheim In der Hehl,NA,50.40474,7.867248,0,NA,0,NA,NA
000011242904,NA,Boden Meudter Straße,NA,50.474168,7.859783,0,NA,0,NA,NA
000011247404,NA,Selters (Westerw) Trotzendorfstraße,NA,50.530283,7.749254,0,NA,0,NA,NA
000011247508_G,NA,Breitenau (Westerw) Hauptstraße,NA,50.500357,7.69399,0,NA,0,NA,NA
000011247608,NA,Breitenau (Westerw) Kirche,NA,50.498071,7.689866,0,NA,0,NA,NA
